name,screen diagonal,screen resolution,cpu,ram,storage type,storage size,price,link,gpu
Lenovo IdeaPad 3 15IGL05 81WQ000JRK серый,15.6 дюйм,1366x768,Intel Celeron N4120,4 ГБ,HDD,1000 ГБ,149990,https://kaspi.kz/shop/p/lenovo-ideapad-3-15igl05-81wq000jrk-seryi-101007044/?c=750000000,Intel UHD Graphics 600
Lenovo IdeaPad L340-15API 81LW0068RK черный,15.6 дюйм,1920x1080,AMD Ryzen 5 3500U,8 ГБ,HDD,1000 ГБ,199990,https://kaspi.kz/shop/p/lenovo-ideapad-l340-15api-81lw0068rk-chernyi-1307044/?c=750000000,AMD Radeon RX Vega 8
Acer EX215-21 NX.EFUER.00J черный,15.6 дюйм,1920x1080,AMD A6 9220e,4 ГБ,SSD,256 ГБ,149990,https://kaspi.kz/shop/p/acer-ex215-21-nx-efuer-00j-chernyi-100635472/?c=750000000,AMD Radeon R4
HP 250 G7 2M2Y9ES черный,15.6 дюйм,1280x720,Intel Pentium Silver N5030,8 ГБ,SSD,256 ГБ,179900,https://kaspi.kz/shop/p/hp-250-g7-2m2y9es-chernyi-100816400/?c=750000000,Intel UHD Graphics 605
HP 250 G7 255J7ES черный,15.6 дюйм,1280x720,Intel Pentium Silver N5030,8 ГБ,SSD,128 ГБ,188800,https://kaspi.kz/shop/p/hp-250-g7-255j7es-chernyi-100788698/?c=750000000,Intel HD Graphics
Lenovo V14-IGL 82C2000YRU серый,14 дюйм,1366x768,Intel Celeron N4020,4 ГБ,HDD,1000 ГБ,149990,https://kaspi.kz/shop/p/lenovo-v14-igl-82c2000yru-seryi-100772938/?c=750000000,Intel UHD Graphics 600
Haier A1400EM серебристый,14 дюйм,1366x768,Intel Celeron N3350,4 ГБ,eMMC,64 ГБ,99990,https://kaspi.kz/shop/p/haier-a1400em-serebristyi-101147994/?c=750000000,Intel HD Graphics 500
Asus X415JA X415JA-BV129T серебристый,14 дюйм,1366x768,Intel Core i5 1035G1,8 ГБ,HDD,1000 ГБ,249400,https://kaspi.kz/shop/p/asus-x415ja-x415ja-bv129t-serebristyi-101367241/?c=750000000,Intel UHD Graphics
Lenovo V14-ADA 82C6S03900 серый,14 дюйм,1920x1080,AMD Athlon Gold 3150U,8 ГБ,SSD,128 ГБ,168980,https://kaspi.kz/shop/p/lenovo-v14-ada-82c6s03900-seryi-101128764/?c=750000000,AMD Radeon Graphics
Apple MacBook Air 13 MGN63RU/A серый,13.3 дюйм,2560x1600,Apple M1,8 ГБ,SSD,256 ГБ,523800,https://kaspi.kz/shop/p/apple-macbook-air-13-mgn63ru-a-seryi-101182724/?c=750000000,Apple M1
Leap T304 белый,11.6 дюйм,1366x768,Intel Celeron N4000,4 ГБ,SSD,128 ГБ,114990,https://kaspi.kz/shop/p/leap-t304-belyi-100786471/?c=750000000,Intel UHD Graphics 600
Asus X515MA -BR026 90NB0TH1-M01750 серый,15.6 дюйм,1366x768,Intel Celeron N4020,4 ГБ,HDD,1000 ГБ,144900,https://kaspi.kz/shop/p/asus-x515ma--br026-90nb0th1-m01750-seryi-101220423/?c=750000000,Intel UHD Graphics 600
